Establishment_ID,Venue_Name,Culinary_Category,City,Verification_Status,Data_Source,Contact_Number
UK-0093,Plant Powered Edinburgh,Vegan Cafe,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0094,Earthlings Cafe Edinburgh,Plant-Based Bakery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0095,The Velvet Vegan Edinburgh,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0096,Root to Stem Edinburgh,Vegan Street Food Eatery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0097,V-Deli Edinburgh,Fine Dining Vegan,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0098,The Conscious Eatery Edinburgh,Vegan Pizzeria,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0099,Herbivore Bistro Edinburgh,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0100,Sprout & Co Edinburgh,Vegan Cafe,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0101,The Kindly Guava Edinburgh,Plant-Based Bakery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0102,No Catch Fish & Chips Edinburgh,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0103,Holy Carrot Edinburgh,Vegan Street Food Eatery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0104,Picky Wops Edinburgh,Fine Dining Vegan,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0105,Unity Diner Edinburgh,Vegan Pizzeria,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0106,Stem & Glory Edinburgh,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0107,Wulf & Lamb Edinburgh,Vegan Cafe,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0108,Waves Vegan Edinburgh,Plant-Based Bakery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0109,The Potion Room Edinburgh,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0110,Green Roots Edinburgh,Vegan Street Food Eatery,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0111,The Nourished Soul Edinburgh,Fine Dining Vegan,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0112,Naked Vegan Edinburgh,Vegan Pizzeria,Edinburgh,100% Vegan,Verified,+44 117 929 4422
UK-0113,Mildreds,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0114,Purezza,Vegan Pizzeria,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0115,Tofu Vegan,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0116,What The Pitta,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0117,Oowee Vegan,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0118,The Vurger Co,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0119,Erpingham House,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 20 7387 9165
UK-0120,The Green Kitchen Glasgow,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0121,Plant Powered Glasgow,Vegan Cafe,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0122,Earthlings Cafe Glasgow,Plant-Based Bakery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0123,The Velvet Vegan Glasgow,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0124,Root to Stem Glasgow,Vegan Street Food Eatery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0125,V-Deli Glasgow,Fine Dining Vegan,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0126,The Conscious Eatery Glasgow,Vegan Pizzeria,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0127,Herbivore Bistro Glasgow,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0128,Sprout & Co Glasgow,Vegan Cafe,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0129,The Kindly Guava Glasgow,Plant-Based Bakery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0130,No Catch Fish & Chips Glasgow,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0131,Holy Carrot Glasgow,Vegan Street Food Eatery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0132,Picky Wops Glasgow,Fine Dining Vegan,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0133,Unity Diner Glasgow,Vegan Pizzeria,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0134,Stem & Glory Glasgow,Fully Vegan Restaurant,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0135,Wulf & Lamb Glasgow,Vegan Cafe,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0136,Waves Vegan Glasgow,Plant-Based Bakery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0137,The Potion Room Glasgow,Vegan Fast Food,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0138,Green Roots Glasgow,Vegan Street Food Eatery,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0139,The Nourished Soul Glasgow,Fine Dining Vegan,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0140,Naked Vegan Glasgow,Vegan Pizzeria,Glasgow,100% Vegan,Verified,+44 117 929 4422
UK-0141,Mildreds,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0142,Purezza,Vegan Pizzeria,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0143,Tofu Vegan,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0144,What The Pitta,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0145,Oowee Vegan,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0146,The Vurger Co,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0147,Erpingham House,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 20 7387 9165
UK-0148,The Green Kitchen Birmingham,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0149,Plant Powered Birmingham,Vegan Cafe,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0150,Earthlings Cafe Birmingham,Plant-Based Bakery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0151,The Velvet Vegan Birmingham,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0152,Root to Stem Birmingham,Vegan Street Food Eatery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0153,V-Deli Birmingham,Fine Dining Vegan,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0154,The Conscious Eatery Birmingham,Vegan Pizzeria,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0155,Herbivore Bistro Birmingham,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0156,Sprout & Co Birmingham,Vegan Cafe,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0157,The Kindly Guava Birmingham,Plant-Based Bakery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0158,No Catch Fish & Chips Birmingham,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0159,Holy Carrot Birmingham,Vegan Street Food Eatery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0160,Picky Wops Birmingham,Fine Dining Vegan,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0161,Unity Diner Birmingham,Vegan Pizzeria,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0162,Stem & Glory Birmingham,Fully Vegan Restaurant,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0163,Wulf & Lamb Birmingham,Vegan Cafe,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0164,Waves Vegan Birmingham,Plant-Based Bakery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0165,The Potion Room Birmingham,Vegan Fast Food,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0166,Green Roots Birmingham,Vegan Street Food Eatery,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0167,The Nourished Soul Birmingham,Fine Dining Vegan,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0168,Naked Vegan Birmingham,Vegan Pizzeria,Birmingham,100% Vegan,Verified,+44 117 929 4422
UK-0169,Mildreds,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0170,Purezza,Vegan Pizzeria,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0171,Tofu Vegan,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0172,What The Pitta,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0173,Oowee Vegan,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0174,The Vurger Co,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0175,Erpingham House,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 20 7387 9165
UK-0176,The Green Kitchen Leeds,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0177,Plant Powered Leeds,Vegan Cafe,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0178,Earthlings Cafe Leeds,Plant-Based Bakery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0179,The Velvet Vegan Leeds,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0180,Root to Stem Leeds,Vegan Street Food Eatery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0181,V-Deli Leeds,Fine Dining Vegan,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0182,The Conscious Eatery Leeds,Vegan Pizzeria,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0183,Herbivore Bistro Leeds,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0184,Sprout & Co Leeds,Vegan Cafe,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0185,The Kindly Guava Leeds,Plant-Based Bakery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0186,No Catch Fish & Chips Leeds,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0187,Holy Carrot Leeds,Vegan Street Food Eatery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0188,Picky Wops Leeds,Fine Dining Vegan,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0189,Unity Diner Leeds,Vegan Pizzeria,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0190,Stem & Glory Leeds,Fully Vegan Restaurant,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0191,Wulf & Lamb Leeds,Vegan Cafe,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0192,Waves Vegan Leeds,Plant-Based Bakery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0193,The Potion Room Leeds,Vegan Fast Food,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0194,Green Roots Leeds,Vegan Street Food Eatery,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0195,The Nourished Soul Leeds,Fine Dining Vegan,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0196,Naked Vegan Leeds,Vegan Pizzeria,Leeds,100% Vegan,Verified,+44 117 929 4422
UK-0197,Mildreds,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0198,Purezza,Vegan Pizzeria,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0199,Tofu Vegan,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0200,What The Pitta,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0201,Oowee Vegan,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0202,The Vurger Co,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0203,Erpingham House,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 20 7387 9165
UK-0204,The Green Kitchen Liverpool,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0205,Plant Powered Liverpool,Vegan Cafe,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0206,Earthlings Cafe Liverpool,Plant-Based Bakery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0207,The Velvet Vegan Liverpool,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0208,Root to Stem Liverpool,Vegan Street Food Eatery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0209,V-Deli Liverpool,Fine Dining Vegan,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0210,The Conscious Eatery Liverpool,Vegan Pizzeria,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0211,Herbivore Bistro Liverpool,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0212,Sprout & Co Liverpool,Vegan Cafe,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0213,The Kindly Guava Liverpool,Plant-Based Bakery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0214,No Catch Fish & Chips Liverpool,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0215,Holy Carrot Liverpool,Vegan Street Food Eatery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0216,Picky Wops Liverpool,Fine Dining Vegan,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0217,Unity Diner Liverpool,Vegan Pizzeria,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0218,Stem & Glory Liverpool,Fully Vegan Restaurant,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0219,Wulf & Lamb Liverpool,Vegan Cafe,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0220,Waves Vegan Liverpool,Plant-Based Bakery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0221,The Potion Room Liverpool,Vegan Fast Food,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0222,Green Roots Liverpool,Vegan Street Food Eatery,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0223,The Nourished Soul Liverpool,Fine Dining Vegan,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0224,Naked Vegan Liverpool,Vegan Pizzeria,Liverpool,100% Vegan,Verified,+44 117 929 4422
UK-0225,Mildreds,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0226,Purezza,Vegan Pizzeria,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0227,Tofu Vegan,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0228,What The Pitta,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0229,Oowee Vegan,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0230,The Vurger Co,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0231,Erpingham House,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 20 7387 9165
UK-0232,The Green Kitchen Brighton,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0233,Plant Powered Brighton,Vegan Cafe,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0234,Earthlings Cafe Brighton,Plant-Based Bakery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0235,The Velvet Vegan Brighton,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0236,Root to Stem Brighton,Vegan Street Food Eatery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0237,V-Deli Brighton,Fine Dining Vegan,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0238,The Conscious Eatery Brighton,Vegan Pizzeria,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0239,Herbivore Bistro Brighton,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0240,Sprout & Co Brighton,Vegan Cafe,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0241,The Kindly Guava Brighton,Plant-Based Bakery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0242,No Catch Fish & Chips Brighton,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0243,Holy Carrot Brighton,Vegan Street Food Eatery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0244,Picky Wops Brighton,Fine Dining Vegan,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0245,Unity Diner Brighton,Vegan Pizzeria,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0246,Stem & Glory Brighton,Fully Vegan Restaurant,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0247,Wulf & Lamb Brighton,Vegan Cafe,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0248,Waves Vegan Brighton,Plant-Based Bakery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0249,The Potion Room Brighton,Vegan Fast Food,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0250,Green Roots Brighton,Vegan Street Food Eatery,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0251,The Nourished Soul Brighton,Fine Dining Vegan,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0252,Naked Vegan Brighton,Vegan Pizzeria,Brighton,100% Vegan,Verified,+44 117 929 4422
UK-0253,Mildreds,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 20 7387 9165
